          ;       32149;   ;Filtro    ;Inicio                                  ;13052015      ;164951;201.241.211.18 ;OK ;                    ;Inicio de filtrado                                                      
          ;       32149;   ;Filtro    ;tbk_param.txt                           ;13052015      ;164951;201.241.211.18 ;OK ;                    ;Archivo parseado                                                        
          ;       32149;   ;Filtro    ;Terminado                               ;13052015      ;164951;201.241.211.18 ;OK ;                    ;Datos Filtrados con exito                                               
          ;       32149;   ;sanitiza  ;inicio                                  ;13052015      ;164951;201.241.211.18 ;OK ;                    ;Entrando a sanitizacion                                                 
          ;       32149;   ;sanitiza  ;Array                                   ;13052015      ;164951;201.241.211.18 ;OK ;                    ;Arreglo de parametros OK.                                               
          ;       32149;   ;sanitiza  ;Fin                                     ;13052015      ;164951;201.241.211.18 ;Ok ;                    ;Sanitizacion exitosa                                                    
1553791583;       32149;   ;pago      ;inicio                                  ;13052015      ;164951;201.241.211.18 ;OK ;597026007976        ;Parseo realizado                                                        
1553791583;       32149;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;164951;201.241.211.18 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
1553791583;       32149;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;164951;201.241.211.18 ;OK ;597026007976        ;Mac generado                                                            
1553791583;       32149;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;164951;201.241.211.18 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
1553791583;       32149;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;164951;201.241.211.18 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
1553791583;       32149;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;164951;201.241.211.18 ;OK ;597026007976        ;Datos listos para ser enviados                                          
1553791583;       32149;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;164951;201.241.211.18 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
1553791583;       32149;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;164951;201.241.211.18 ;OK ;597026007976        ;Redireccion web                                                         
1553791583;       32149;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;164951;201.241.211.18 ;OK ;597026007976        ;Todo OK                                                                 
          ;        8389;   ;Filtro    ;Inicio                                  ;13052015      ;165217;201.241.211.18 ;OK ;                    ;Inicio de filtrado                                                      
          ;        8389;   ;Filtro    ;tbk_param.txt                           ;13052015      ;165217;201.241.211.18 ;OK ;                    ;Archivo parseado                                                        
          ;        8389;   ;Filtro    ;Terminado                               ;13052015      ;165217;201.241.211.18 ;OK ;                    ;Datos Filtrados con exito                                               
          ;        8389;   ;sanitiza  ;inicio                                  ;13052015      ;165217;201.241.211.18 ;OK ;                    ;Entrando a sanitizacion                                                 
          ;        8389;   ;sanitiza  ;Array                                   ;13052015      ;165217;201.241.211.18 ;OK ;                    ;Arreglo de parametros OK.                                               
          ;        8389;   ;sanitiza  ;Fin                                     ;13052015      ;165217;201.241.211.18 ;Ok ;                    ;Sanitizacion exitosa                                                    
1553937933;        8389;   ;pago      ;inicio                                  ;13052015      ;165217;201.241.211.18 ;OK ;597026007976        ;Parseo realizado                                                        
1553937933;        8389;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;165217;201.241.211.18 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
1553937933;        8389;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;165217;201.241.211.18 ;OK ;597026007976        ;Mac generado                                                            
1553937933;        8389;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;165217;201.241.211.18 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
1553937933;        8389;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;165217;201.241.211.18 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
1553937933;        8389;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;165217;201.241.211.18 ;OK ;597026007976        ;Datos listos para ser enviados                                          
1553937933;        8389;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;165217;201.241.211.18 ;OK ;597026007976        ;Medio 2: Por redireccion                                                
1553937933;        8389;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;165217;201.241.211.18 ;OK ;597026007976        ;Redireccion web                                                         
1553937933;        8389;   ;pago      ;https://certificacion.webpay.cl         ;13052015      ;165217;201.241.211.18 ;OK ;597026007976        ;Todo OK                                                                 
          ;       12564;   ;resultado ;Desencriptando                          ;13052015      ;165313;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;       12564;   ;resultado ;Validacion                              ;13052015      ;165313;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;       12564;   ;resultado ;351                                     ;13052015      ;165313;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;       12564;   ;resultado ;351                                     ;13052015      ;165313;200.10.12.55   ;OK ;                    ;http://cccchile.cl/modules/webpay/cierre_compra.php                     
1553937933;       12564;   ;transacc  ;1553937933                              ;13052015      ;165313;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
1553937933;       12564;   ;resultado ;logro abrir_conexion                    ;13052015      ;165313;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
