*ERROR* 	2015/05/13 - 19:36:01: Can't load Order status at line 167 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 19:36:12: Can't load Order status at line 167 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 19:36:19: Can't load Order status at line 167 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 19:36:29: Can't load Order status at line 167 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 19:36:36: Can't load Order status at line 167 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 19:36:40: Can't load Order status at line 167 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 19:36:43: Can't load Order status at line 167 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 19:37:21: Can't load Order status at line 167 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 19:37:25: Can't load Order status at line 167 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 19:37:28: Can't load Order status at line 167 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 19:37:33: Can't load Order status at line 167 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 19:37:35: Can't load Order status at line 167 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 19:37:39: Can't load Order status at line 167 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 19:37:52: Can't load Order status at line 167 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 19:38:24: Can't load Order status at line 167 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 19:38:27: Can't load Order status at line 167 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 19:38:33: Can't load Order status at line 167 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 19:38:36: Can't load Order status at line 167 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 19:38:39: Can't load Order status at line 167 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 19:38:41: Can't load Order status at line 167 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 19:42:10: Can't load Order status at line 167 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 19:42:19: Can't load Order status at line 167 in file classes/PaymentModule.php
*ERROR* 	2015/05/13 - 19:42:22: Can't load Order status at line 167 in file classes/PaymentModule.php
